DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
21-02-2022,491,500.35,486.2,494.7,654509,14800
18-02-2022,497.45,502.75,491.5,493.1,967313,21858
17-02-2022,505.1,511.4,498.3,500,1010796,16732
16-02-2022,504.5,507.95,496.7,498.2,876665,15573
15-02-2022,476.8,505.3,467.2,503.85,2473128,55616
14-02-2022,489.9,489.9,469,471.7,1077169,28946
11/2/2022,502.05,506.8,497,498.35,501704,10554
10/2/2022,507,510,504.2,507.3,1170471,26904
9/2/2022,495.3,503.7,494.75,501.35,549340,9875
8/2/2022,498.6,498.6,479.3,492.5,1793813,42056
7/2/2022,502,504.4,492.65,494.8,533630,12102
4/2/2022,504.5,507.85,499,500.55,1251726,23342
3/2/2022,509,514.35,502.9,504.6,1232577,22440
2/2/2022,510,514.4,505.35,506.4,604766,11241
1/2/2022,507,514.65,493.2,504.3,2097367,35011
31-01-2022,507,519.5,498.15,517.5,2175057,42511
28-01-2022,500.1,509.3,495.5,497.4,888583,14736
27-01-2022,481.9,502.5,477.5,494.25,950616,18406
25-01-2022,473,492.35,467.6,490.4,1523451,46260
24-01-2022,500.5,504.25,473.45,478.55,1944951,69372
21-01-2022,510.8,513.9,494.3,502,1325230,32766
20-01-2022,520.75,523.05,512,515.7,650960,11887
19-01-2022,510.35,522,504.95,520.75,1598778,31497
18-01-2022,528.2,528.35,507.1,510.95,1508361,34435
17-01-2022,514.1,526.9,512.2,525,1174570,20987
14-01-2022,509.9,515.3,505.65,509.75,938170,20435
13-01-2022,504.5,513.85,495,511.95,1208916,17245
12/1/2022,505,511.8,503.4,507.1,680385,10561
11/1/2022,503.7,507.95,498.2,501.25,1403186,29165
10/1/2022,492.1,505,491.35,503.7,1080986,16435
7/1/2022,490,495.45,483.85,490.45,1107610,22874
6/1/2022,482.5,492.8,477.25,488.9,842383,11134
5/1/2022,486.95,492.6,483.5,489.55,664939,10576
4/1/2022,496.95,497.85,484.05,489.45,1166045,18014
3/1/2022,492.25,500.8,492.25,497.45,1220655,21063
31-12-2021,472.25,483.45,472.25,482.35,510974,9207
30-12-2021,474.4,476.4,468.75,470.35,387791,7877
29-12-2021,479.5,481.5,474.35,475.8,414506,7485
28-12-2021,475,482.7,472.65,480.1,1167241,23417
27-12-2021,466,472.3,460.1,471.3,641654,8904
24-12-2021,475,475,460,467.55,1537138,24248
23-12-2021,476.45,478.1,471,472.35,1504426,22516
22-12-2021,458.95,471.9,458.55,470.5,1553516,15622
21-12-2021,451.9,460.9,450.05,453.55,1395623,30863
20-12-2021,460,460.05,440,447.15,1891091,32096
17-12-2021,488.4,488.7,468.4,470,2420490,57626
16-12-2021,495.8,496.05,487.55,491.95,971345,10365
15-12-2021,487.3,497.75,487.3,491.5,1555695,22310
14-12-2021,492,492,483.35,489.5,924787,11661
13-12-2021,499.9,506.3,494.25,495.25,800150,12333
10/12/2021,488.9,497.05,486.15,494.35,803654,9184
9/12/2021,498,498.9,489.6,493.8,686790,11127
8/12/2021,484.95,495.85,483.6,493.75,1772955,31929
7/12/2021,476.4,484.95,471.05,481.9,1706128,30188
6/12/2021,482.4,482.4,465.95,467.3,1014419,14785
3/12/2021,479.15,484.9,477.4,480,1120592,14039
2/12/2021,479.85,480.2,471.75,479,1538594,29500
